feature,split,gain,total,null_imp,total_null
f003_pb0_lumi_mean-d-pb3_lumi_mean,0.06042811138473195,0.11812854067073805,0.17855665205547,0.11961400301948576,0.05894264903598424
f013_lumi_max-d-min,0.13667361242659595,0.03121337931298712,0.16788699173958307,0.1095288742948904,0.05835811744469267
f002_lumi_median,0.05048304603144535,0.07681564394067819,0.12729868997212354,0.07368915514250916,0.05360953482961438
f014_d1_flux_norm3_median,0.11091115741617733,0.009603360760329369,0.12051451817650667,0.0676392751663035,0.052875243010203174
f013_lumi_median,0.01903769653343437,0.05481239954742802,0.07385009608086238,0.02154995103384411,0.05230014504701827
f003_pb1_flux_ratio_sq_median,0.153722295889373,0.007509362757451906,0.1612316586468249,0.10958103295121248,0.05165062569561242
f015_pb5_d1_flux_norm1_max-d-min,0.012691797688956242,0.09926407312935437,0.1119558708183106,0.060610825106563085,0.051345045711747514
f015_pb1_d0_lumi_q90-m-q10,0.013828376586474709,0.07353594122325417,0.08736431780972888,0.03718449892788908,0.0501798188818398
f003_pb1_flux_norm1_q75-m-q25,0.1215192271263497,0.007878899856745263,0.12939812698309494,0.08118545338446335,0.048212673598631586
f017_pb5_lumi_min,0.0501041863989392,0.0719833669826907,0.1220875533816299,0.07415297459842872,0.047934578783201176
f003_pb1_lumi_q90-d-pb2_lumi_q90,0.11365788975184694,0.060714878273106974,0.1743727680249539,0.12760438061954688,0.046768387405407036
f003_pb0_lumi_std-d-pb5_lumi_std,0.0518090547452169,0.06299702795513568,0.1148060827003526,0.06835401975379876,0.04645206294655384
f015_pb3_d1_lumi_max-d-pb5_d1_lumi_max,0.02273157795036939,0.12390613378829705,0.1466377117386664,0.10027948966066122,0.04635822207800519
f027_lumi_std,0.03807539306686873,0.040357751075684206,0.07843314414255294,0.03257474774268819,0.04585839639986475
f003_pb1_lumi_q90,0.08126539117257056,0.021795236247976142,0.10306062742054672,0.0573807596089153,0.04567986781163143
f014_d1_lumi_max-m-min,0.0757719265012313,0.019498978302320013,0.09527090480355133,0.050039571162416537,0.04523133364113479
f023_pb5_lumi_mean,0.0322030687630233,0.0577627874464147,0.08996585620943799,0.04564295365991357,0.04432290254952442
f015_pb5_d1_flux_q25,0.015817389657132034,0.0982711797229227,0.11408856938005472,0.0716552317232998,0.04243333765675493
f003_pb0_flux_by_flux_ratio_sq_max-d-pb5_flux_by_flux_ratio_sq_max,0.055692365978405,0.0753296145619775,0.1310219805403825,0.09050097052961503,0.040521010010767466
